Mã tổ hợp,Tổ hợp môn,Mã trường,Tên trường,Phương thức,Tên ngành,Tổ hợp xét tuyển,Điểm chuẩn 2025,Điểm chuẩn 2024,Điểm chuẩn 2023
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Ngôn ngữ Anh,A00,26.51,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế học,A00,26.52,27.2,27.1
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế và quản lý đô thị,A00,25.8,27.01,27.05
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế và quản lý nguồn nhân lực,A00,26.79,27.34,27.15
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế đầu tư,A00,27.5,27.4,27.5
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế phát triển,A00,26.77,27.2,27.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế quốc tế,A00,28.13,27.54,27.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Thống kê kinh tế,A00,26.79,36.23,36.2
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Toán kinh tế,A00,26.73,36.2,35.95
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quan hệ công chúng,A00,28.07,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị kinh doanh,A00,27.1,27.15,27.25
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Marketing,A00,28.12,27.78,27.55
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Bất động sản,A00,25.41,26.83,26.4
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh doanh quốc tế,A00,28.6,27.71,27.5
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh doanh thương mại,A00,28,27.57,27.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Thương mại điện tử,A00,28.83,28.02,27.65
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Tài chính – Ngân hàng,A00,27.34,27.3,27.1
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Bảo hiểm,A00,24.75,26.71,26.4
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kế toán,A00,27.1,27.29,27.05
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kiểm toán,A00,28.38,27.79,27.2
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Khoa học quản lý,A00,26.06,27.1,27.05
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản lý công,A00,25.42,26.96,26.75
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị nhân lực,A00,27.1,27.25,27.1
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Hệ thống thông tin quản lý,A00,27.5,36.36,36.15
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quan hệ lao động,A00,25,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản lý dự án,A00,26.63,27.15,27.15
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Luật,A00,25.96,26.91,26.6
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Luật kinh tế,A00,26.75,27.05,26.85
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Luật thương mại quốc tế,A00,26.44,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Khoa học máy tính,A00,26.27,35.55,35.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Hệ thống thông tin,A00,26.38,35.94,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Công nghệ thông tin,A00,25.89,35.17,35.3
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,An toàn thông tin,A00,25.59,35,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Logistics và Quản lý chuỗi cung ứng,A00,28.61,27.89,27.4
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh doanh nông nghiệp,A00,23.75,26.81,26.6
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế nông nghiệp,A00,24.35,26.85,26.2
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị dịch vụ du lịch và lữ hành,A00,26.06,26.71,26.75
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị khách sạn,A00,26.25,26.94,26.75
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản lý tài nguyên và môi trường,A00,24.17,26.76,26.4
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế tài nguyên thiên nhiên,A00,23.5,26.87,26.35
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản lý đất đai,A00,24.38,26.85,26.55
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị kinh doanh (E-BBA),A00,25.64,27.01,27.1
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Khởi nghiệp và phát triển kinh doanh (BBAE),A00,24.92,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Khoa học tính toán trong Tài chính và Bảo hiểm,A00,25.5,26.57,26.45
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Phân tích dữ liệu kinh tế (EDA),A00,26.78,26.97,26.85
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kế toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),A00,25.9,27.2,26.9
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh doanh số (E-BDB),A00,26.4,27,26.85
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Phân tích kinh doanh (BA),A00,27.5,27.48,27.15
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị điều hành thông minh (E-SOM),A00,25.1,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị chất lượng và Đổi mới (E-MQI),A00,24.2,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Công nghệ tài chính và Ngân hàng số,A00,26.29,26.96,26.75
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Tài chính và Đầu tư (BFI),A00,26.27,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị khách sạn quốc tế (IHME),A00,24.25,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kiểm toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),A00,27.25,27.45,27.2
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế học tài chính (FE),A00,25.41,26.96,26.75
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Logistics và Quản lý CCU tích hợp chứng chỉ Logistic quốc tế (LSIC),A00,27.69,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Khoa học dữ liệu,A00,26.13,35.46,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Trí tuệ nhân tạo,A00,25.44,34.5,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kỹ thuật phần mềm,A00,24.7,34.06,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị giải trí và sự kiện,A00,25.89,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản lý công và Chính sách (E-PMP),A00,23,26.7,26.1
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị lữ hành,A00,24.64,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Truyền thông Marketing,A00,27.61,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Luật kinh doanh,A00,25.5,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị kinh doanh thương mại,A00,26.29,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản lý thị trường,A00,24.66,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Thẩm định giá,A00,24.55,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Công nghệ tài chính (dự kiến),A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(1) Kinh tế phát triển,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(2) Ngân hàng,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(3) Công nghệ thông tin và chuyển đổi số,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(4) Bảo hiểm tích hợp chứng chỉ ANZIIF,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(1) Kinh tế Đầu tư,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(2) Quản trị nhân lực,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(3) Quản trị kinh doanh,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(4) Quan hệ công chúng,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(1) Tài chính doanh nghiệp,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(2) Marketing số,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(3) Quản trị Marketing,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(4) Quản trị Kinh doanh quốc tế,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(5) Kinh tế quốc tế,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(6) Logistics và quản lý chuỗi cung ứng,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(7) Thương mại điện tử,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(8) Kiểm toán tích hợp chứng chỉ ACCA,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Công nghệ Marketing,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Công nghệ Logistics và Quản trị chuỗi cung ứng,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kiểm toán nội bộ,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế số (dự kiến),A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Kinh tế Y tế,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Phát triển quốc tế,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Công nghệ môi trường và phát triển bền vững,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị công nghiệp sáng tạo,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị nhân lực quốc tế,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Quản trị rủi ro định lượng,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Toán ứng dụng (dự kiến),A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,Thống kê và Trí tuệ kinh doanh,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(1) Kế toán,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(2) Kế hoạch tài chính,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(1) Tài chính,A00,,,
A00,Toán – Lý – Hóa,KHA,Đại Học Kinh Tế Quốc Dân,Điểm thi THPT,(2) Kinh doanh quốc tế,A00,,,
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Thực phẩm (CT tiên tiến),A00,21,22,22.7
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật sinh học (CT tiên tiến),A00,20,22,21
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Sinh học,A00,23.02,24,24.6
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Thực phẩm,A00,23.38,24.54,24.49
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Hóa dược (CT tiên tiến),A00,21.38,24.34,23.44
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Hóa học,A00,24.05,24.38,23.7
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Hóa học,A00,23.19,23.81,23.04
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Công nghệ Giáo dục,A00,23.8,25.3,24.55
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Quản lý Giáo dục,A00,23.7,24.78,
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),A00,26.56,25.8,24.47
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),A00,28.12,27.54,26.74
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Tin học công nghiệp và Tự động hóa (CT Việt - Pháp PFIEV),A00,27.27,26.22,25.14
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật điện,A00,27.55,26.81,25.55
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật điều khiển & Tự động hóa,A00,28.48,28.16,27.57
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Quản lý Năng lượng,A00,24.2,25.4,24.98
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Quản lý Công nghiệp,A00,24.4,25.6,25.39
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Quản trị Kinh doanh,A00,24.8,25.77,25.83
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Tài chính-Ngân hàng,A00,24.8,25.91,25.75
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),A00,26.62,26.61,25.73
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),A00,27.55,27.03,25.99
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Y sinh (CT tiên tiến),A00,25.58,25.08,23.7
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),A00,27.85,27.21,26.45
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),A00,26.55,25.65,24.3
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Điện tử-Viễn thông,A00,28.07,27.41,26.46
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Y sinh,A00,26.32,25.8,25.04
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Môi trường,A00,22.22,22.1,21
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Quản lý Tài nguyên và Môi trường,A00,21.53,21.78,21
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Nhiệt,A00,25.47,25.2,23.94
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Khoa học Dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),A00,29.39,28.22,28.8
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,An toàn không gian số - Cyber Security (CT tiên tiến),A00,28.69,27.9,28.05
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Công nghệ Thông tin Việt - Nhật (tăng cường tiếng Nhật),A00,27.97,27.35,27.64
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Công nghệ Thông tin Global ICT (CT tiên tiến),A00,28.66,28.01,28.16
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Công nghệ Thông tin Việt - Pháp (tăng cường tiếng Pháp),A00,27.83,27.35,27.32
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,CNTT: Khoa học Máy tính,A00,29.19,28.53,29.42
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,CNTT: Kỹ thuật Máy tính,A00,28.83,28.48,28.29
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Cơ điện tử (CT tiên tiến),A00,26.74,26.38,25.47
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Cơ khí Chế tạo máy - hợp tác với trường ĐH Griffith (Úc),A00,25,24.89,23.32
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (CHLB Đức),A00,26.19,25.24,24.02
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),A00,25.68,25.11,23.85
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Cơ điện tử,A00,27.9,27.49,26.75
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Cơ khí,A00,26.62,25.8,24.96
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Toán-Tin,A00,27.8,27.35,27.21
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Hệ thống Thông tin quản lý,A00,27.72,27.34,27.06
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Khoa học và Kỹ thuật Vật liệu (CT tiên tiến),A00,23.7,24,21.5
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Vật liệu,A00,25.39,24.9,23.25
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Vi điện tử và Công nghệ nano,A00,28.25,27.64,26.18
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Công nghệ vật liệu Polyme và Compozit,A00,25.16,25,23.7
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật In,A00,24.06,24,
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Vật lý Kỹ thuật,A00,26.41,25.87,24.28
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Hạt nhân,A00,25.07,24.64,22.31
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Vật lý Y khoa,A00,25.2,25.31,24.02
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Ô tô (CT tiên tiến),A00,25.18,25.9,25
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Cơ khí Hàng không (CT Việt - Pháp PFIEV),A00,25.84,24.86,23.7
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Ô tô,A00,27.03,26.99,26.48
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Cơ khí động lực,A00,26.25,26.12,25.31
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Kỹ thuật Hàng không,A00,26.6,26.22,25.5
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Khoa học Máy tính - ĐH Troy (Hoa Kỳ) (do ĐH Troy cấp bằng),A00,21.8,21,24.96
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Công nghệ Dệt May,A00,22.48,22.5,21.4
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Hóa học Mỹ phẩm (mới) (CT tiên tiến),A00,,,
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Tâm lý học công nghiệp và tổ chức (mới),A00,,,
A00,Toán – Lý – Hóa,BKA,Đại Học Bách Khoa Hà Nội,Điểm thi THPT,Khoa học tính toán cho các hệ thống thông minh (mới) (CT tiên tiến),A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Tài chính - Ngân hàng (CTĐT Thuế; Hải quan và nghiệp vụ ngoại thương; Tài chính quốc tế; Phân tích tài chính; Tài chính doanh nghiệp; Ngân hàng; Đầu tư tài chính; Tài chính số *),A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Kế toán (CTĐT Kế toán doanh nghiệp; Kế toán công; Kế toán và phân tích dữ liệu *),A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Quản trị kinh doanh (CTĐT Quản trị doanh nghiệp; Quản trị kinh doanh du lịch),A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Tin học tài chính kế toán,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Kinh tế (CTĐT Kinh tế và quản lý nguồn lực tài chính; Kinh tế số *),A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Quản lý tài chính công,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Tài chính bảo hiểm,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Thẩm định giá và kinh doanh bất động sản,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Kiểm toán,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Marketing,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Kinh tế đầu tư,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Trí tuệ nhân tạo trong tài chính kế toán,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Khoa học dữ liệu (CTĐT Khoa học dữ liệu trong tài chính; An ninh tài chính *),A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Kinh tế chính trị - Tài chính,A00,,,
A00,Toán – Lý – Hóa,HTC,Học Viện Tài chính,Điểm thi THPT,Luật kinh doanh,A00,,,
